datetime,symbol,open,high,low,close,volume
2020-06-01 19:00:00,BINANCE:BUSDUSDT,0.999,1.0017,0.9985,1.0001,80812153.00999998
2020-06-02 19:00:00,BINANCE:BUSDUSDT,1.0001,1.0008,0.9997,1.0001,33143585.37
2020-06-03 19:00:00,BINANCE:BUSDUSDT,1.0001,1.0007,0.9993,0.9997,35155993.47
2020-06-04 19:00:00,BINANCE:BUSDUSDT,0.9998,1.0007,0.9997,1.0005,26840431.10000007
2020-06-05 19:00:00,BINANCE:BUSDUSDT,1.0005,1.0012,1.0001,1.0002,21523714.79000003
2020-06-06 19:00:00,BINANCE:BUSDUSDT,1.0002,1.0007,0.9991,0.9996,28080814.61
2020-06-07 19:00:00,BINANCE:BUSDUSDT,0.9995,1.0001,0.9991,0.9996,21910168.41999998
2020-06-08 19:00:00,BINANCE:BUSDUSDT,0.9996,1.0002,0.999,0.9994,26975058.79000007
2020-06-09 19:00:00,BINANCE:BUSDUSDT,0.9994,1.0003,0.9994,0.9994,23708883.24999998
2020-06-10 19:00:00,BINANCE:BUSDUSDT,0.9995,1.0033,0.9993,1.0013,48381282.59999998
2020-06-11 19:00:00,BINANCE:BUSDUSDT,1.0013,1.0019,1.0003,1.0004,18649952.98999998
2020-06-12 19:00:00,BINANCE:BUSDUSDT,1.0004,1.0008,0.9999,1.0,19144663.93000001
2020-06-13 19:00:00,BINANCE:BUSDUSDT,1.0,1.0009,0.9999,1.0009,16202717.82
2020-06-14 19:00:00,BINANCE:BUSDUSDT,1.0009,1.0024,0.9995,0.9997,43944573.05000001
2020-06-15 19:00:00,BINANCE:BUSDUSDT,0.9997,1.0007,0.9993,1.0001,24363205.48000008
2020-06-16 19:00:00,BINANCE:BUSDUSDT,1.0001,1.0017,1.0,1.0012,26382574.05000003
2020-06-17 19:00:00,BINANCE:BUSDUSDT,1.0012,1.0015,1.0007,1.0012,26517894.24000001
2020-06-18 19:00:00,BINANCE:BUSDUSDT,1.0013,1.0018,1.0007,1.0017,33220497.72000002
2020-06-19 19:00:00,BINANCE:BUSDUSDT,1.0016,1.0017,1.0004,1.0006,28118538.71000001
2020-06-20 19:00:00,BINANCE:BUSDUSDT,1.0006,1.0017,1.0003,1.0015,21374677.49999999
2020-06-21 19:00:00,BINANCE:BUSDUSDT,1.0015,1.0016,0.9997,1.0001,28007737.45000001
2020-06-22 19:00:00,BINANCE:BUSDUSDT,1.0,1.0008,0.9999,1.0004,27700241.52000002
2020-06-23 19:00:00,BINANCE:BUSDUSDT,1.0004,1.0023,1.0002,1.0015,34183085.73000003
2020-06-24 19:00:00,BINANCE:BUSDUSDT,1.0014,1.0025,1.0005,1.0008,26770218.03999997
2020-06-25 19:00:00,BINANCE:BUSDUSDT,1.0008,1.0023,1.0006,1.001,30926827.04999999
2020-06-26 19:00:00,BINANCE:BUSDUSDT,1.001,1.0016,1.0008,1.0012,24687971.00000002
2020-06-27 19:00:00,BINANCE:BUSDUSDT,1.0011,1.0013,1.0004,1.0005,16431918.14999998
2020-06-28 19:00:00,BINANCE:BUSDUSDT,1.0005,1.0016,1.0003,1.0006,24111732.41000001
2020-06-29 19:00:00,BINANCE:BUSDUSDT,1.0005,1.0009,1.0002,1.0005,18627904.93
2020-06-30 19:00:00,BINANCE:BUSDUSDT,1.0004,1.0006,0.9997,0.9998,26164499.60000002
2020-07-01 19:00:00,BINANCE:BUSDUSDT,0.9998,1.0008,0.9997,1.0,26564423.07999998
2020-07-02 19:00:00,BINANCE:BUSDUSDT,0.9999,1.0004,0.9998,1.0,19478452.22999998
2020-07-03 19:00:00,BINANCE:BUSDUSDT,1.0,1.0003,0.9997,0.9999,15824496.72
2020-07-04 19:00:00,BINANCE:BUSDUSDT,0.9999,1.0002,0.9997,0.9999,17975886.47000001
2020-07-05 19:00:00,BINANCE:BUSDUSDT,0.9998,1.0003,0.9997,1.0,31186338.69999998
2020-07-06 19:00:00,BINANCE:BUSDUSDT,1.0,1.0005,0.9999,1.0002,27207265.17999994
2020-07-07 19:00:00,BINANCE:BUSDUSDT,1.0002,1.0005,0.9995,0.9996,39763682.66000003
2020-07-08 19:00:00,BINANCE:BUSDUSDT,0.9996,1.0005,0.9995,1.0001,35476695.49
2020-07-09 19:00:00,BINANCE:BUSDUSDT,1.0001,1.001,1.0001,1.0002,33354546.24000001
2020-07-10 19:00:00,BINANCE:BUSDUSDT,1.0002,1.0004,1.0,1.0002,18535301.17000002
2020-07-11 19:00:00,BINANCE:BUSDUSDT,1.0003,1.0003,0.9997,1.0,26105043.76000001
2020-07-12 19:00:00,BINANCE:BUSDUSDT,1.0,1.0009,0.9999,1.0007,36533396.25999994
