,symbol,open,high,low,close,volume
2021-01-16,COINBASE:UNIUSD,8.3886,9.1737,8.07,8.6782,5293.8826
2021-01-17,COINBASE:UNIUSD,8.6852,9.8631,8.3012,9.194,3525.3167
2021-01-18,COINBASE:UNIUSD,9.1953,9.67,8.4455,8.5947,3118.2491
2021-01-19,COINBASE:UNIUSD,8.5899,9.049,7.6331,8.9794,3228.0755
2021-01-20,COINBASE:UNIUSD,8.9777,9.0412,7.3143,7.5714,3754.3349
2021-01-21,COINBASE:UNIUSD,7.5848,9.021,7.0142,8.7075,4064.4383
2021-01-22,COINBASE:UNIUSD,8.704,9.5384,8.5,9.3398,2340.5786
2021-01-23,COINBASE:UNIUSD,9.3527,12.3195,9.1786,12.0407,6266.6446
2021-01-24,COINBASE:UNIUSD,12.0423,12.9637,10.879,11.3122,6637.4352
2021-01-25,COINBASE:UNIUSD,11.3138,14.2887,11.1638,13.9344,8177.5289
2021-01-26,COINBASE:UNIUSD,13.9339,15.5537,12.9957,14.7553,8552.6085
2021-01-27,COINBASE:UNIUSD,14.7614,15.437,13.55,14.1284,6081.9979
2021-01-28,COINBASE:UNIUSD,14.1564,15.79,14.1112,15.6391,5556.5485
2021-01-29,COINBASE:UNIUSD,15.6379,19.6838,15.1001,19.5737,8142.4471
2021-01-30,COINBASE:UNIUSD,19.6037,20.545,17.4278,17.733,7718.7293
2021-01-31,COINBASE:UNIUSD,17.7496,20.75,16.6902,20.4901,6323.0566
2021-02-01,COINBASE:UNIUSD,20.4901,20.5907,18.051,18.9755,4355.051
2021-02-02,COINBASE:UNIUSD,18.9772,20.5,18.7109,19.7515,3499.6925
2021-02-03,COINBASE:UNIUSD,19.7343,21.6,19.22,20.14,5184.2027
2021-02-04,COINBASE:UNIUSD,20.14,22.4408,19.4445,21.1938,4247.0237
2021-02-05,COINBASE:UNIUSD,21.1958,21.6864,19.201,19.2755,2506.2211
2021-02-06,COINBASE:UNIUSD,19.2831,19.6877,17.1,18.687,2393.0261
2021-02-07,COINBASE:UNIUSD,18.7112,20.2192,18.1452,19.3274,2181.7445
2021-02-08,COINBASE:UNIUSD,19.3327,19.9184,18.8874,19.5453,1879.9186
2021-02-09,COINBASE:UNIUSD,19.5311,22.45,19.5311,20.6903,3471.4751
2021-02-10,COINBASE:UNIUSD,20.6894,22.0,20.1573,21.4856,2345.1487
2021-02-11,COINBASE:UNIUSD,21.4943,23.86,21.2252,22.7095,3057.2736
2021-02-12,COINBASE:UNIUSD,22.713,23.5784,21.1909,21.8343,1907.8506
2021-02-13,COINBASE:UNIUSD,21.8279,22.65,20.7036,20.8615,1349.833
2021-02-14,COINBASE:UNIUSD,20.8615,21.5439,17.1539,20.0943,2961.1223
2021-02-15,COINBASE:UNIUSD,20.1148,21.3,19.3813,20.4684,1522.5131
2021-02-16,COINBASE:UNIUSD,20.4855,21.8479,19.1605,21.5497,1491.6331
